Glaze name,Cone,Color,Testing,Surface,Firing,Transparency,Recipe1,Recipe2,Recipe3,Recipe4,Recipe5,Recipe6,Recipe7,Recipe8,Recipe9,Recipe10,Recipe11,Recipe12,Recipe13,Recipe14
Black Ikeda Glaze,03,Black,,Waxy,Oxidation,Opaque,Nepheline syenite	77.40,Frit 3110	17.30,Ball clay	5.30,Manganese dioxide	33.30,Bentonite	5.00,,,,,,,,,
Black Katrina's Excellent,04-03,Black,,,Oxidation,Opaque,Frit 3195	47.00,EPK	26.00,Wollastonite	15.00,Silica	12.00,Bentonite	2.00,,,,,,,,,
Black Luscious,04-03,Black,Tested,Gloss,Oxidation,Opaque,Spodumene	21.10,Frit 3134	53.70,Flint	16.90,EPK	8.30,Bentonite	2.00,,,,,,,,,
Black Pete's Shiny,04-03,Black,,Gloss,Oxidation,Opaque,Frit 3124	45.00,Frit 3289	45.00,EPK	10.00,Bentonite	2.00,,,,,,,,,,
black Rosie's Satin,04-03,Black,,Waxy,Oxidation,Opaque,Plastic vitrox	40.00,Gerstley borate	50.00,Flint	10.00,,,,,,,,,,,
black Rosie's Satin no GB,04-03,Black,Untested,Waxy,Oxidation,Opaque,Silica	14.70,Frit 3134	68.80,EPK	16.50,,,,,,,,,,,
Black Satin Matt  Paul's Low Fire,06 - 03,black,Untested,Satin matt,oxidation,Opaque,Potash feldspar	15.80,Dolomite	10.50,Gerstley borate	26.30,Silica	10.50,Barnard clay	36.80,Cobalt oxide	2.10,Copper oxide	11.60,,,,,,,
Black Satin Matt Paul's Low Fire,06 - 03,black,Untested,matt,oxidation,,Potash feldspar	15.79,Dolomite	10.53,Gerstley borate	26.32,Silica	10.53,Barnard clay	36.84,Cobalt oxide	2.11,Copper oxide	11.58,,,,,,,
Black Satin Matt Paul's Low Fire,06 - 03,black,Untested,matt,oxidation,Opaque,Potash feldspar	15.79,Dolomite	10.53,Gerstley borate	26.32,Silica	10.53,Barnard clay	36.84,Cobalt oxide	2.11,Copper oxide	11.58,,,,,,,
Bleu Ginette,04,Dark blue with a lot of white mottling,Tested,Gloss,Oxidation,Opaque,Hardwood ash	35.00,Custer spar	14.00,Frit 3134	25.00,EPK	14.00,Lithium carbonate	12.00,Bentonite	3.00,Ultrox	15.00,Cobalt oxide	5.00,,,,,,
Blue Andy's Water,06-04,Blue,,Gloss,Oxidation,Transparent,Gerstley borate	5.80,EPK	7.20,Frit 3110	76.90,Flint	10.10,,,,,,,,,,
Blue Black Purple,08 - 06,silver blue to silver bronze,Untested,,Ox. or Red.,,Gerstley borate	50.00,Nepheline syenite	50.00,Copper carbonate	50.00,Rutile	50.00,,,,,,,,,,
blue Cobalt,04,blue,,glossy shiny,,,Ferro frit 3110	71.40,Grolleg	14.30,Flint	9.50,Zirconium silicate	4.80,Cobalt carbonate	1.40,,,,,,,,,
Blue Dennis' Lithium G3021,04,Blue,,Satin matt,Oxidation,Translucent,Flint	57.00,Lithium carbonate	29.00,Kaolin	14.00,Bentonite	2.00,Copper carbonate	3.00,,,,,,,,,
Blue Don's 08-06,08 - 06,Bright blue,Untested,mottled,Oxidation,,G-200 feldspar	138.90,Gerstley borate	277.80,Ball clay	55.50,Barium carbonate	27.80,Rutile	5.60,Copper carbonate	11.10,,,,,,,,
Blue Gill's,04,Blue,Untested,Glossy,Oxidation,,Gerstley borate	464.00,EPK	576.00,Frit 3110	6152.00,Flint	808.00,Copper carbonate	240.00,Cobalt Stain	80.00,,,,,,,,
Blue Hawaiian Copper,06,,,,,,Bone ash	20.00,Gerstley borate	80.00,Tin oxide	1.30,Copper carbonate	5.00,Cobalt oxide	2.50,,,,,,,,,
Blue Lithium,04-03,Turquoise,,Matt,Oxidation,Opaque,Lithium carbonate	65.90,EPK	34.10,Bentonite	4.90,Copper carbonate	9.80,,,,,,,,,,
Blue transparent,04,blue,,glossy shiny,Oxidation,Transparent,Ferro frit 3110	71.40,Grolleg	14.30,Flint	9.50,Zirconium silicate	4.80,Cobalt carbonate	1.40,,,,,,,,,
Blue V.C. Soda 1962,04,Turquoise,Untested,Glossy,Oxidation,Transparent,Frit 3110	70.00,Colemanite	5.00,Flint	10.00,Soda ash	10.00,EPK	5.00,Copper carbonate	3.00,,,,,,,,
Brick Red Lana's,06-04,Red rust iron,,Matt,Oxidation,Opaque,Redart	88.00,Frit 3134	12.00,,,,,,,,,,,,
Bronze Metallic,04-03,bronze metallic,Untested,Matt,Oxidation,Opaque,Red clay	55.00,Flint	5.00,Ball clay	5.00,Manganese dioxide	45.00,Copper carbonate	5.00,Cobalt carbonate	5.00,,,,,,,,
Bronze/Black Bartel,02,Metallic Bronze,,,Oxidation,Opaque,Frit 3110	9.00,Copper carbonate	18.00,Manganese dioxide	73.00,,,,,,,,,,,
Carbon,06-04,,,,Oxidation,Opaque,Magnesium carbonate17.70,Borax47.10,Gerstley borate35.30,Rutile	17.70,Iron oxide	23.50,Cobalt oxide4.10,,,,,,,,
Carlton Ball Base,06 - 04,,,,,,Ferro frit 3134	70.00,EPK	15.00,Silica	15.00,,,,,,,,,,,
Casting white,04-03,White,,,Oxidation,,Grolleg	30.00,kaolin Georgia	12.00,Ball clay	8.00,Flint	20.00,Pyrophyllite	12.00,Frit 3124	18.00,Darvan	0.35,,,,,,,
Chapin Opaque,04,,Untested,,Oxidation,,Frit 3124	7530.00,EPK	470.00,Zircopax	1412.00,,,,,,,,,,,
Chartreuse Moonelis,06-04,chartreuse,,Lichen,Oxidation,Opaque,Kona F-4 feldspar	5.00,Nepheline syenite	55.00,Talc	10.00,Dolomite	15.00,Borax	15.00,Chromium oxide	1.00,Bentonite	1.00,,,,,,,
Chartreuse Moss,,,,,,,Lithium carbonate	80.00,Gerstley borate	5.00,Silica	15.00,Bentonite	2.00,chrome oxide	3.00,Tin oxide	7.00,,,,,,,,
Chun turquoise,04-03,,,Gloss,Oxidation,,Frit 3195	47.39,Frit 3124	37.92,EPK	9.48,Copper carbonate	0.47,Titanium dioxide	4.74,,,,,,,,,
Clay  Steve & Linda's #1,,,,,,,Redart	43.00,XX Sagger	10.00,Bell Dark ball clay	5.00,GoldArt	19.00,Talc	10.00,Spodumene	2.00,Bentonite	2.00,Silica	10.00,Barium carbonate	0.25,Grog	2.00,,,,
Clay  Steve & Linda's #2,,,,,,,Redart	43.00,XX Sagger	19.00,Bell Dark ball clay	5.00,GoldArt	10.00,Talc	10.00,Spodumene	2.00,Bentonite	2.00,Silica	10.00,Barium carbonate	0.25,Grog	2.00,,,,
Clay Arbuckle Terracotta new,04-03,Red,,,Oxidation,,Redart	40.00,GoldArt	10.00,Foundry Hill Creme	9.00,XX Sagger	16.00,Fire clay	10.00,Flint	6.00,Talc theoretical	6.00,Spodumene	3.00,Barium carbonate	0.50,Bentonite	2.00,,,,
Clay Black David Crane's,06-01,Black,,,Oxidation,Opaque,Ocmulgee	32.00,Redart	32.00,Fire clay	26.00,Barnard clay	10.00,Manganese dioxide	6.00,Iron oxide	5.00,Grog	2.00,,,,,,,
Clay Buff Graham's,04,Tan,,,Ox. or Red.,Opaque,Fireclay	30.00,GoldArt	30.00,Ball clay	15.00,Frit 3124	15.00,Talc	10.00,,,,,,,,,
Clay Casting Earthenware 04,04,Red,,Unglazed,Oxidation,,Redart	60.00,GoldArt	20.00,Ball clay	20.00,Flint	10.00,Barium carbonate	0.50,Sodium silicate	0.20,Soda ash	0.30,,,,,,,
Clay Casting Red Body 03,04-03,Red,,,Oxidation,,Ocmulgee	27.00,Redart	27.00,A.P. Green	20.00,Talc	26.00,Barium carbonate	0.50,,,,,,,,,
Clay Casting Red Patrick Loughran,04-03,Orange,,Unglazed,Oxidation,,Redart	78.00,Ball clay	10.00,GoldArt	10.00,Frit 3195	1.00,Frit 3124	1.00,Barium carbonate	0.20,Sodium silicate	0.20,Soda ash	0.20,,,,,,
Clay Casting White 04 Body,04,,,Unglazed,Oxidation,,Kentucky OM #4	50.00,Talc	35.00,EPK	15.00,Sodium silicate	0.30,Soda ash	0.10,,,,,,,,,
Clay Casting White Talc,06-04,White,,Unglazed,Oxidation,Opaque,Talc	45.00,Ball clay	19.00,Kaolin	17.00,Feldspar	19.00,Soda ash	0.15,Sodium silicate	0.15,,,,,,,,
Clay Christianson Earthenware,04-03,Red,,Unglazed,Oxidation,Opaque,Redart	54.70,GoldArt	36.50,Talc theoretical	8.80,Grog	3.70,Barium carbonate	0.50,Red iron oxide	0.70,,,,,,,,
Clay Forbes Red,03-02,Red,,Unglazed,Oxidation,,Ocmulgee	25.00,Redart	25.00,Missouri fire clay	20.00,Calvert clay	10.00,Talc theoretical	10.00,Nepheline syenite	5.00,Flint	5.00,Bentonite	2.00,Barium carbonate	0.50,,,,,
Clay Graham Marks,06-04,Red,,Unglazed,Oxidation,,Redart	50.00,Fire clay	10.00,Wollastonite	10.00,Frit 3124	10.00,Barium carbonate	0.50,sand	10.00,Grog	10.00,nylon fiber	0.50,,,,,,
