Glaze name,Cone,Color,Testing,Surface,Firing,Transparency,Recipe1,Recipe2,Recipe3,Recipe4,Recipe5,Recipe6,Recipe7,Recipe8,Recipe9,Recipe10,Recipe11,Recipe12,Recipe13,Recipe14
Aventurine Chromium Green,5,Green,,Gloss,Oxidation,Transparent,Fusion Frit F-245	52.00,Custer feldspar	20.00,Barium carbonate	16.00,Silica	12.00,Copper carbonate	1.50,Chromium oxide	1.00,Macaloid	1.00,,,,,,,
Aventurine Sparkling Mint,5,Green,,Gloss,Oxidation,Transparent,Frit 3278	52.00,Barium carbonate	16.00,Kaolin	16.00,Silica	16.00,Copper carbonate	2.00,Chromium oxide	1.50,Macaloid	1.00,,,,,,,
Aventurine Metallic Copper,5,,,Gloss,Oxidation,Transparent,Fusion Frit F-79	40.00,Barium carbonate	48.00,Silica	12.00,Sodium bicarbonate	8.00,Copper carbonate	1.00,Chromium oxide	1.50,Macaloid	1.00,,,,,,,
Aventurine Apple Green,5,,,Gloss,Oxidation,Transparent,Fusion Frit F-15	70.00,Barium carbonate	30.00,Chromium oxide	1.80,Macaloid	1.00,,,,,,,,,,
Aventurine Circular Dot,5,Brown,,Gloss,Oxidation,Transparent,Nepheline syenite	24.00,Sodium bicarbonate	29.00,Whiting	11.00,Silica	36.00,Fluorspar	2.00,Macaloid	1.00,Red iron oxide	22.00,,,,,,,
Aventurine Iron Variation,5,Brown,,Gloss,Oxidation,Transparent,Sodium bicarbonate	49.00,Bentonite	25.00,Whiting	4.00,Silica	22.00,Red iron oxide	21.00,,,,,,,,,
Aventurine Blue-Green,5,blue-green,,Gloss,Oxidation,Transparent,Fusion Frit F-496	15.00,Custer feldspar	21.00,Whiting	17.00,Strontium carbonate	15.00,Kaolin	7.00,Silica	25.00,Copper carbonate	4.50,Chromium oxide	1.50,,,,,,
Aventurine Blue Green,5,Blue-green,,Gloss,Oxidation,Transparent,Fusion Frit F-15	70.00,Barium carbonate	30.00,Copper carbonate	2.00,Chromium oxide	1.50,Macaloid	1.00,,,,,,,,,
Green Dragon Matt,6,Turquoise,,Matt,Oxidation,,Whiting	18.00,Zinc oxide	8.00,Cornwall Stone	22.00,Soda spar	44.00,EPK	3.00,Bentonite	5.00,Titanium dioxide	4.00,Copper carbonate	4.00,,,,,,
Ash Frasca,6,Turquoise,,Matt,Oxidation,,Whiting	11.00,Ash wood	56.00,Potash feldspar	11.00,Ball clay	11.00,Silica	11.00,Copper carbonate	4.00,,,,,,,,
Bronze Aqua Lana Wilson,6,,,,Oxidation,,Strontium carbonate	50.00,Nepheline syenite	50.00,Gerstley borate	2.50,Bentonite	3.00,Copper carbonate	4.00,,,,,,,,,
Lichen Bell's,6-8,,,Lichen,Oxidation,Opaque,Magnesium carbonate	31.00,Talc theoretical	8.00,Zinc oxide	6.00,Frit P-25	6.00,Soda spar	30.00,Kaolin	19.00,,,,,,,,
new glaze,,,,,,,,,,,,,,,,,,,,
Eggshell recalc,6,,,Matt,Oxidation,,Whiting	16.00,Dolomite	0.90,Zinc oxide	5.30,Frit 3195	24.80,Potash feldspar - theoretical	32.80,Kaolin - theoretical	0.30,Silica	19.90,Tin oxide	9.00,Red iron oxide	3.00,,,,,
Eggshell,6,,,Matt,Oxidation,,Whiting	9.50,Zinc oxide	5.50,Frit 3124	44.50,Custer feldspar	20.00,Bentonite	7.50,EPK	5.00,Silica	8.00,Tin oxide	9.00,Red iron oxide	3.00,,,,,
Slip Ron Meyers,02,White,,Unglazed,Ox. or Red.,Opaque,EPK	31.34,Kentucky OM #4	18.00,potspar	24.89,Flint	17.51,Zircopax Plus	7.37,Soda ash	0.23,Sodium silicate	0.23,,,,,,,
Slip #1818 Kawai,6 - 10,White,,Unglazed,Ox. or Red.,Opaque,Kaolin	80.00,Grog (150 mesh)	20.00,,,,,,,,,,,,
1213P Calcium Matte,5,,,matte,,,Wollastonite	33.90,Ferro frit 3134	21.10,Kaolin	45.00,,,,,,,,,,,
1213P Calcium Matte calc problem,5,,,matte,,,Wollastonite	36.60,Gerstley borate	10.70,Kaolin - theoretical	35.10,Custer feldspar	16.40,Silica	0.04,,,,,,,,,
2nd Edition Indian Red,6,iron red brown,,Semi-gloss,Ox. or Red.,Opaque,Potash feldspar	40.00,Zinc oxide	4.00,Dolomite	3.00,Whiting	15.00,China clay	5.00,Silica	33.00,chrome oxide	0.50,Red iron oxide	4.00,,,,,,
5-20's Tony Hansen,6 - 8,clear,,glossy,oxidation,,EPK	20.00,Custer feldspar	20.00,Wollastonite	20.00,Frit 3134	20.00,Flint	20.00,,,,,,,,,
974 Kawai Celadon,6 - 8,Translucent Green,,shiny glossy,Reduction,Transparent,Potash feldspar	62.24,Whiting	7.61,China clay	4.97,Silica	25.18,Black iron oxide	1.52,,,,,,,,,
Albany Black,5 - 6,black,Untested,Semi-gloss,Ox. or Red.,Opaque,Albany Slip	75.00,Nepheline syenite	20.00,Gerstley borate	5.00,Cobalt oxide	5.00,,,,,,,,,,
Alfred Spodumene B.J.,6,Tan/Brown/White,,Matt,Reduction,Opaque,Kona F-4 feldspar	20.00,Custer feldspar	20.00,Spodumene	20.00,Dolomite	20.00,Whiting	5.00,Kaolin	15.00,Tin oxide	4.00,,,,,,,
Almond St. Helens,6,almond yellow,,Satin matt,Oxidation,Opaque,Custer spar	40.00,Zinc oxide	8.60,Whiting	14.90,EPK	11.80,Flint	4.70,Volcanic ash - Mt. St. Helens	20.00,Rutile	8.00,,,,,,,
Amber,6-8,Amber,Untested,,Oxidation,,Custer feldspar	30.27,Whiting	25.65,Silica	36.53,EPK	7.55,Red iron oxide	11.66,,,,,,,,,
Amber Ash Glaze,6,Amber,,gloss,Oxidation,,Cedar Heights Redart	40.00,Ferro frit 3124	30.00,Ash wood	30.00,Rutile	4.00,,,,,,,,,,
Amber Brown Dark Rich,6,Brown,,,Oxidation,Translucent,Gerstley borate	46.70,EPK	22.90,Flint	30.40,Bone ash	0.20,Red iron oxide	10.00,,,,,,,,,
Amber Honey,5 - 6,Amber,,glossy,,,Dolomite	20.00,Ferro frit 3134	20.00,Spodumene	20.00,Kentucky OM #4	20.00,Flint	20.00,Bentonite	2.00,Manganese dioxide	3.00,Red iron oxide	5.00,,,,,,
Amber New Tyler,6,amber,Untested,gloss,oxidation,,Ferro Frit 3110	20.00,Red clay	60.00,Gerstley borate	20.00,,,,,,,,,,,
Amber New Tyler,6,amber,Untested,gloss,oxidation,,Ferro Frit 3110	20.00,Red clay	60.00,Gerstley borate	20.00,,,,,,,,,,,
Apricot/Beige MMI,6,apricot/beige,,Semi matt,Oxidation,,Potash feldspar	28.18,Whiting	18.18,Talc	9.09,Kaolin	26.36,Silica	9.09,Zinc oxide	9.09,chrome oxide	1.82,Cobalt carbonate	0.23,,,,,,
Apricot/Tan MMM,6,apricot/tan,Untested,Semi matt,oxidation,,Potash feldspar	28.18,Whiting	18.18,Talc	9.09,Kaolin	26.36,Silica	9.09,Zinc oxide	9.09,Iron oxide	0.45,chrome oxide	1.82,,,,,,
Aqua V.C. Karen Starshine,6,Blue Green,Untested,Glossy or shiny,Ox. or Red.,Opaque,K-200 feldspar	46.00,Soda ash	5.00,Gerstley borate	12.00,Whiting	10.00,Barium carbonate	5.00,Lithium carbonate	2.00,Flint	20.00,Macaloid	2.00,Titanium dioxide	4.00,Copper carbonate	5.00,,,,
Ash Barium Boron,6 - 8,base,,,,,Wood ash	24.07,Barnard clay	20.37,Custer feldspar	28.40,Gerstley borate	13.58,Barium carbonate	9.88,Zinc oxide	3.70,Copper carbonate	1.85,,,,,,,
Ash Behrends,6,,,,,,Volcanic ash	65.00,Gerstley borate	35.00,,,,,,,,,,,,
Ash Behrends recalc,6,,,,,,Feldspar	57.60,Gerstley borate	41.60,Dolomite	0.30,Whiting	0.50,,,,,,,,,,
Ash Behrens,6,,Untested,,oxidation,Semi-opaque,Volcanic ash	65.00,Gerstley borate	35.00,,,,,,,,,,,,
Ash Bush Fake,6,tan?,Untested,"runny, rivulet",oxidation,,Barnard clay	20.00,Ball clay	26.00,Wollastonite	30.00,Gerstley borate	24.00,Rutile	1.00,,,,,,,,,
Ash Bush Fake NO GB,6,tan?,Untested,"runny, rivulet",oxidation,,Kaolin - theoretical	3.20,Dolomite	4.40,Whiting	26.10,Frit 3195	43.20,Silica	23.10,Rutile	1.60,Manganese dioxide	0.80,Red iron oxide	3.00,,,,,,
Ash Fake,6,,,gloss,,,Gerstley borate	50.00,Barnard clay	25.00,EPK	25.00,,,,,,,,,,,
Ash Fake  - Mid Range rev.,6 - 8,Translucent Green,,Shiny or Glossy drippy texture,,,Gerstley borate	17.08,Redart clay	37.16,Nepheline syenite	2.98,Whiting	31.01,Talc	2.83,Flint	2.54,Strontium carbonate	6.39,,,,,,,
Ash Fake - Mid Range rev.,"6, 7, 8",Translucent Green,Untested,Shiny or Glossy drippy texture,Ox. or Red.,,Gerstley borate	17.10,Redart	37.20,Nepheline syenite	3.00,Whiting	31.00,Talc	2.80,Flint	2.50,Strontium carbonate	6.40,,,,,,,
Ash Fake - Mid Range rev. No GB,"6, 7, 8",Translucent Green,Untested,Shiny or Glossy drippy texture,Ox. or Red.,,Dolomite	9.20,Whiting	23.30,Strontium carbonate	6.50,Kaolin - theoretical	17.80,Silica	8.70,Frit 3134	34.30,Bone ash	0.20,Rutile	0.50,Red iron oxide	2.80,,,,,
Ash Fake 2,6,,Untested,gloss,oxidation,,Gerstley borate	50.00,Barnard clay	25.00,EPK	25.00,,,,,,,,,,,
Ash Fake 3,6,,Untested,,Ox. or Red.,,Whiting	20.00,Ferro Frit 3134	20.00,Custer feldspar	20.00,Barium carbonate	15.00,EPK	15.00,Gerstley borate	10.00,,,,,,,,
Ash Fake Clear - Mid Range rev.,6 - 8,Translucent Gray,,Shiny or Glossy drippy texture,,,Gerstley borate	17.48,Nepheline syenite	11.97,EPK	13.11,Whiting	31.74,Talc	4.81,Flint	14.35,Strontium carbonate	6.54,,,,,,,
Ash Fake Clear - Mid Range rev.,"6, 7, 8",Translucent Gray,Untested,Shiny or Glossy drippy texture,Ox. or Red.,,Gerstley borate	17.48,Nepheline syenite	11.97,EPK	13.11,Whiting	31.74,Talc	4.81,Flint	14.35,Strontium carbonate	6.54,,,,,,,
Ash Fake Glaze,6,yellow to brown,Untested,Texture rivulets,Ox. or Red.,,Cedar Heights RedArt Clay	27.15,Dolomite	23.80,Barium sulfate	12.20,Tennessee #5 ball clay	20.40,Lithium carbonate	1.71,Gerstley borate	9.64,Bone ash	5.10,,,,,,,
Ash Fake Glaze,6,yellow to brown,,Texture rivulets,,,Cedar Heights Redart	27.15,Dolomite	23.80,Barium sulfate	12.20,Tennessee #5 ball clay	20.40,Lithium carbonate	1.71,Gerstley borate	9.64,Bone ash	5.10,,,,,,,
Ash Fake Revised Galloway,6,,,,Salt - Soda,,Custer feldspar	17.00,Kona F-4 feldspar	10.00,Ball clay	12.00,Silica	18.00,Dolomite	9.00,Whiting	26.00,Barium carbonate	9.00,Rutile	4.00,Copper carbonate	2.00,,,,,
Ash Glaze,5 - 6,,Untested,?,Ox. or Red.,,Gerstley borate	13.60,Lithium carbonate	4.50,wood Ash	18.20,Whiting	18.20,Albany Slip	36.40,Kaolin	9.10,,,,,,,,
Ash Glaze cone 6,6,,Untested,gloss,oxidation,,Cedar Heights Redart clay	40.00,Ferro Frit 3124	30.00,Ash wood	30.00,Rutile	4.00,,,,,,,,,,
Ash Glaze Rhodes revised,6 - 9,,,stony/ satin matt,,,Hardwood ash (washed)	28.00,G-200 feldspar	36.00,Dolomite	10.00,Kentucky OM #4	21.00,EPK kaolin	5.00,,,,,,,,,
Ash Golden Fake,6,Amber,,,,,Cedar Heights Redart	27.20,Dolomite	23.80,Barium sulfate	12.20,Ball clay	20.40,Lithium carbonate	1.70,Gerstley borate	9.60,Bone ash	5.10,Bentonite	1.00,,,,,,
Ash Golden Fake,6,golden yellow,Untested,"runny, rivulet",oxidation,,Redart clay	27.00,Dolomite	24.00,Barium carbonate	12.00,Ball clay	20.00,Lithium carbonate	2.00,Gerstley borate	10.00,Bone ash	5.00,,,,,,,
Ash Human Glaze -Su Standing Bear,6,,,,Oxidation,,Wollastonite	10.00,Silica	15.00,EPK	20.00,G-200 feldspar	20.00,Frit 3134	30.00,Bone ash	5.00,,,,,,,,
Ash Levison,6,grey blue,Untested,Matt,oxidation,,Wood Ash	40.00,Custer feldspar	40.00,Ball clay	10.00,Silica	10.00,Rutile	4.00,Cobalt carbonate	2.00,,,,,,,,
Ash Levison,6,grey blue,,,,,Wood ash	40.00,Custer feldspar	40.00,Ball clay	10.00,Silica	10.00,Rutile	4.00,Cobalt carbonate	2.00,,,,,,,,
Ash Look,6,,Untested,,oxidation,Semi-opaque,Ferro Frit 3195	46.00,Whiting	34.00,EPK	20.00,,,,,,,,,,,
Ash V.C.  4,5 - 6,,Untested,Rivulet,Reduction,,Apple Wood Ash	50.00,Gerstley borate	20.00,Whiting	12.00,EPK	8.00,Flint	10.00,,,,,,,,,
ash Zakin's GK,5 - 6,,Untested,ash runny,Ox. or Red.,,Ferro Frit 3124	18.18,Magnesium carbonate	7.07,Nepheline syenite	10.10,Strontium carbonate	11.11,Spodumene	15.15,EPK	10.10,Whiting	13.13,ash unwashed	15.15,Opax	12.12,Bentonite	2.02,,,,
Bacia's 20-30-40,6,,Untested,,Ox. or Red.,,Kaolin	22.20,Whiting	33.30,Feldspar	44.40,,,,,,,,,,,
Ball Crawl,6,Opaque White,Untested,Texture crawl,Ox. or Red.,,Magnesium carbonate	50.00,Nepheline syenite	50.00,,,,,,,,,,,,
Barium Boron Ash,6 - 8,base,,,,,Wood ash	24.07,Barnard clay	20.37,Custer feldspar	28.40,Gerstley borate	13.58,Barium carbonate	9.88,Zinc oxide	3.70,Copper carbonate	1.85,,,,,,,
Base,6,Clear,,,Oxidation,Transparent,Nepheline syenite	47.30,Gerstley borate	14.20,Flint	27.50,Whiting	9.30,Zinc oxide	1.70,Tin oxide	1.00,Copper carbonate	0.30,,,,,,,
Base 2 Overgloss Glaze,4,,Untested,Gloss,Oxidation,Opaque,Barium carbonate	6.80,Gerstley borate	17.50,Talc	6.40,Zinc oxide	8.10,Custer feldspar	38.70,Flint	22.50,Titanium dioxide	3.00,Red iron oxide	3.00,,,,,,
Base 2 Overgloss Glaze No GB,4,,Untested,Gloss,Oxidation,Opaque,Strontium carbonate	4.90,Dolomite	10.80,Whiting	3.40,Zinc oxide	7.70,Custer feldspar	32.70,Silica	17.80,Frit 3185	19.90,Kaolin - theoretical	2.80,Titanium dioxide	2.90,Red iron oxide	2.90,,,,
Base Alec Karros,6,,,,Salt - Soda,,Kona F-4 feldspar	11.00,Nepheline syenite	21.00,EPK	10.00,Gerstley borate	12.00,Silica	40.00,Whiting	4.00,Wollastonite	8.00,Frit 3124	6.00,,,,,,
Base Ayumi/Lorio 20/80,6,,,Matt,Oxidation,,Soda ash	0.70,Dolomite	2.20,Kona F-4 feldspar	7.10,EPK	16.20,Strontium carbonate	3.90,Flint	1.00,Frit 3124	1.00,Custer feldspar	39.70,,,,,,
Base Ayumi/Lorio 20/80 no soda ash,6,,,Matt,Oxidation,,Dolomite	3.20,Whiting	0.20,Strontium carbonate	5.50,Custer feldspar	72.40,Kaolin - theoretical	14.70,Frit 3124	1.40,Alumina hydrate	2.70,,,,,,,
Base Bill Aycock's,6,Clear,Untested,shiny,Ox. or Red.,,Custer feldspar	29.60,Nepheline syenite	8.60,Strontium carbonate	4.90,Zinc oxide	3.30,Gerstley borate	20.70,Whiting	1.80,Silica	31.10,,,,,,,
Base Blend Steve's/ Lorio A 80/20,6,,,Matt,Oxidation,,Kona F-4 feldspar	30.53,Whiting	14.11,Dolomite	11.41,Magnesium carbonate	7.61,EPK	14.51,Flint	7.61,Gerstley borate	4.60,Custer feldspar	9.61,,,,,,
Base Blend Steve's/ Lorio A 80/20 no GB,6,,,Matt,Oxidation,,Nepheline syenite	24.30,Whiting	6.30,Dolomite	26.90,Kaolin - theoretical	16.80,Silica	17.30,Frit 3134	7.80,,,,,,,,
Base Clear (Cone 5-10),5 - 10,clear transparent,,glossy,,,Gerstley borate	50.00,Kaolin	17.50,Flint	32.50,,,,,,,,,,,
Base Dave's,6,Tan,,Gloss,Oxidation,Opaque,Kaolin	29.30,Flint	17.40,Frit 3134	53.30,Tin oxide	8.70,Rutile	4.00,Red iron oxide	3.00,,,,,,,,
Base F1,6,,,Satin matt,Oxidation,,Whiting	4.81,Kona F-4 feldspar	34.62,Dolomite	15.38,Soda ash	3.85,EPK	17.31,Strontium carbonate	14.42,Flint	5.77,Frit 3110	3.85,,,,,,
Base F5,6,,,Satin matt,Oxidation,,Whiting	4.80,Kona F-4 feldspar	34.60,Dolomite	15.40,Soda ash	3.90,EPK	17.30,Strontium carbonate	14.40,Flint	5.80,Lithium carbonate	3.90,,,,,,
Base F5 no soda ash,6,,,Satin matt,Oxidation,,Whiting	5.80,Lithium carbonate	3.90,Dolomite	15.60,Strontium carbonate	14.40,Nepheline syenite	39.70,Kaolin - theoretical	6.80,Silica	11.20,,,,,,,
Base Franks G18-C,6,,,Satin matt,Oxidation,,Cornwall Stone	22.68,Whiting	18.56,EPK	5.15,Zinc oxide	8.25,NC-4 feldspar	45.36,,,,,,,,,
Base Franks G18-C no NC4 spar,6,,,Satin matt,Oxidation,,Nepheline syenite	39.30,Whiting	20.40,Zinc oxide	8.30,Kaolin - theoretical	9.50,Silica	23.50,,,,,,,,,
Base Gareri,4 - 8,,Untested,,oxidation,,Nepheline syenite	34.10,EPK	1.80,Colemanite	16.30,Silica	31.80,Whiting	3.90,Zinc oxide	6.10,Barium carbonate	5.90,Bentonite	2.00,,,,,,
Base Glaze,6,base,,semi-matte,,,Spodumene	20.00,Dolomite	20.00,Ferro frit 3124	20.00,Kentucky OM #4	20.00,Silica	20.00,,,,,,,,,
Base Hamada #2,6,,,,Salt - Soda,,Custer feldspar	53.00,Kona F-4 feldspar	8.00,Ball clay	2.00,Frit 3124	15.00,Whiting	9.00,Barium carbonate	16.00,Zinc oxide	9.00,,,,,,,
Base Jamie's cone 6,6,,,Satin matt,Oxidation,,Nepheline syenite	3.30,Barium carbonate	24.00,Silica	23.00,Gerstley borate	10.00,Ball clay	6.00,Whiting	3.00,Magnesium carbonate	1.00,,,,,,,
Base Jun 5,6,White,Untested,Waxy,Oxidation,Semi-opaque,Colemanite	12.40,Nepheline syenite	6.00,Spodumene - theoretical	4.80,Dolomite	9.90,Whiting	0.80,Zinc oxide	1.10,Kaolin - theoretical	16.30,Silica	46.40,Titanium dioxide	2.40,,,,,
Base Kaplan's 3-6,3 - 6,white,Untested,,oxidation,,EPK	10.56,Whiting	17.43,Silica	22.75,Custer feldspar	39.36,Zinc oxide	9.90,Zircopax	9.90,,,,,,,,
Base Kaplan's Revised 3-5,3 - 5,white,Untested,,oxidation,,Custer feldspar	36.00,Whiting	16.00,Strontium carbonate	17.00,Kaolin	10.00,Silica	21.00,Zircopax	10.00,,,,,,,,
Base Lorio A/8-A 98/2,6,,,Matt,Oxidation,,Custer feldspar	47.10,Whiting	32.00,EPK	15.40,Gerstley borate	3.80,Frit 3110	0.90,Lithium carbonate	0.10,Barium carbonate	0.10,Flint	0.60,,,,,,
Base Lorio A/8-A 98/2 no GB,6,,,Matt,Oxidation,,Custer feldspar	45.00,Spodumene	0.60,Whiting	31.80,Kaolin - theoretical	15.40,Frit 3134	6.50,Silica	0.20,,,,,,,,
Base Lorio A/A 90/10,6,,,Matt,Oxidation,,Custer feldspar	43.30,Whiting	29.40,EPK	15.50,Gerstley borate	3.50,Frit 3110	4.40,Lithium carbonate	0.40,Barium carbonate	0.70,Flint	2.80,,,,,,
Base Lorio A/A 90/10 no GB,6,,Untested,Matt,Oxidation,,Custer feldspar	47.70,Spodumene	2.20,Whiting	29.60,Barium carbonate	0.70,Kaolin - theoretical	12.20,Frit 3134	6.50,Silica	1.00,,,,,,,
Base M-3,6,Clear,,,Oxidation,,Nepheline syenite	41.50,Barium carbonate	27.80,Lithium carbonate	4.90,Whiting	4.90,Flint	14.50,Gerstley borate	1.90,EPK	4.50,Bentonite	2.00,,,,,,
Base M-3 no GB,6,Clear,,,Oxidation,,Nepheline syenite	41.30,Spodumene	4.00,Strontium carbonate	20.80,Lithium carbonate	4.20,Whiting	5.40,Silica	13.30,Frit 3195	3.10,Bentonite	2.00,,,,,,
Base M2,6,,,,Oxidation,,Dolomite	21.00,Gerstley borate	5.25,Custer feldspar	15.75,Nepheline syenite	26.50,Ball clay	21.00,Flint	10.50,,,,,,,,
Base Rob's/G.A. Blend- Wheeler,6,,,Satin matt,Oxidation,,Cornwall Stone	34.60,Whiting	8.40,Gerstley borate	2.90,Strontium carbonate	9.30,Kona F-4 feldspar	23.20,Frit 3110	10.60,Flint	9.30,Lithium carbonate	1.70,Bentonite	3.00,,,,,
Base Steve's #2,6,,,Matt,Oxidation,,Kona F-4 feldspar	42.93,Barium carbonate	8.58,Magnesium carbonate	8.58,EPK	17.17,Wollastonite	8.58,Flint	8.49,Strontium carbonate	5.66,,,,,,,
Base U,6,,,,Oxidation,,Custer feldspar	27.20,Whiting	27.60,Zinc oxide	12.80,EPK	22.60,Flint	8.20,Colemanite	1.50,,,,,,,,
Basic,5 - 6,Variable,Untested,Variable,Ox or Red,,K-200 Feldspar	43.00,EPK	14.00,Whiting	20.00,Flint	23.00,,,,,,,,,,
Beady,5,,,,Oxidation,,Frit 3134	10.00,Nepheline syenite	35.00,Wollastonite	10.00,Magnesium carb	35.00,EPK	10.00,,,,,,,,,
Beady Eyes 2,6 - 8,white base,,texture glaze,Ox. or Red.,,Custer feldspar	25.00,Whiting	6.00,Magnesium carbonate	35.00,Kentucky OM #4	10.00,Flint	8.00,Ferro frit 3134	16.00,,,,,,,,
Beth's Shiny Green,5 - 7,light green,,,,,Nepheline syenite	46.74,Silica	25.00,Gerstley borate	10.87,Ball clay	6.52,Dolomite	10.87,Titanium dioxide	7.61,Bentonite	1.09,Copper carbonate	1.63,,,,,,
Bill Aycock's Base,6,almost clear,Untested,shiny,Ox. or Red.,,Custer feldspar	29.56,Nepheline syenite	8.62,Strontium carbonate	4.91,Zinc oxide	3.31,Gerstley borate	20.74,Whiting	1.80,Silica	31.06,,,,,,,
Bird Matt,6,silver white,Untested,,Ox. or Red.,,Nepheline syenite	71.46,Dolomite	23.71,Ball clay	4.83,Tin oxide	9.55,Bentonite	2.81,,,,,,,,,
Black,6,Black,,"more matt thin, more glossy thick",,,K-200 feldspar	78.81,Gerstley borate	10.76,Whiting	5.46,EPK	4.97,Copper carbonate	3.31,Cobalt carbonate	1.99,Manganese dioxide	4.14,,,,,,,
Black Albany,5 - 6,black,Untested,Semi-gloss,Ox. or Red.,Opaque,Albany slip	75.00,Nepheline syenite	20.00,Gerstley borate	5.00,Cobalt oxide	5.00,,,,,,,,,,
Black Bright,5,Black,,Gloss,Oxidation,Opaque,Albany slip	72.00,Spodumene	12.00,Gerstley borate	16.00,Cobalt oxide	2.40,,,,,,,,,,
Black crystal,5-6,Black,,Satin matt,Oxidation,Opaque,Dolomite	21.00,Gerstley borate	5.25,Custer feldspar	15.75,Nepheline syenite	26.50,Ball clay	21.00,Flint	10.50,Cobalt carbonate	6.00,Copper carbonate	6.00,,,,,,
Black crystal no gb,5-6,Black,,Satin matt,Oxidation,Opaque,Magnesium carbonate	11.00,Whiting	10.50,Nepheline syenite	34.20,Kaolin - theoretical	17.50,Silica	16.30,Frit 3134	10.40,Cobalt carbonate	6.00,Copper carbonate	6.00,,,,,,
Black Crystalline,6,black,Untested,matte,oxidation,Opaque,Dolomite	21.00,Gerstley borate	5.25,Custer feldspar	15.75,Nepheline syenite	26.50,Ball clay	21.00,Flint	10.50,Cobalt carbonate	6.00,Copper carbonate	6.00,,,,,,
Black Cushing,5-6,Black,,,,Opaque,Albany slip	65.00,Barium carbonate	10.00,Nepheline syenite	10.00,Talc	15.00,Chromium oxide	1.00,Manganese dioxide	2.00,Cobalt carbonate	2.00,,,,,,,
Black Granny's Shorts,5 - 6,Black,Untested,Semi-gloss,Ox. or Red.,Opaque,PV Clay	15.00,Custer spar	35.00,Flint	10.00,Whiting	10.00,Gerstley borate	30.00,Black stain	7.00,,,,,,,,
Black IE,6,black / brown,Untested,Gloss,Oxidation,Opaque,Whiting	17.00,Nepheline syenite	34.00,Kaolin	8.00,Silica	41.00,Iron oxide	13.00,,,,,,,,,
Black Larry's,6 - 7,Black,Untested,Gloss,Ox. or Red.,Opaque,Custer feldspar	46.70,Whiting	14.40,EPK	8.90,Barium carbonate	2.20,Silica	22.20,Lithium carbonate	5.60,Cobalt carbonate	3.30,Iron oxide	4.40,Manganese dioxide	2.20,,,,,
black Matt,5,black,,matt,Oxidation,Opaque,Barnard slip	90.00,Whiting	10.00,,,,,,,,,,,,
black Matt 2,5,black,Untested,matt,Oxidation,,Barnard slip	90.00,Whiting	10.00,,,,,,,,,,,,
Black Matte,6,black,Untested,matte,Ox. or Red.,Opaque,Alberta slip	70.00,Ferro Frit 3124	20.00,Wollastonite	10.00,Rutile	5.00,Mason stain 6600	5.00,Bentonite	2.00,,,,,,,,
Black Matte,6,black,Untested,matte,Ox. or Red.,Opaque,Alberta slip	70.00,Ferro Frit 3124	20.00,Wollastonite	10.00,Rutile	5.00,Mason stain 6600	5.00,Bentonite	2.00,,,,,,,,
Black Metallic,6,Black,,Metallic,Oxidation,Opaque,Gerstley borate	11.00,Whiting	5.00,Custer feldspar	79.00,EPK	5.00,Cobalt oxide	2.00,Copper carbonate	4.00,Manganese dioxide	4.00,,,,,,,
black metallic,6,metallic black,Untested,Gloss,oxidation,Opaque,Spodumene	50.00,Gerstley borate	25.00,Flint	25.00,Black iron oxide	10.00,Cobalt oxide	2.00,Copper carbonate	4.00,,,,,,,,
Black Metallic,6,Black,Untested,,oxidation,Opaque,Gerstley borate	11.00,Whiting	5.00,Custer feldspar	79.00,EPK	5.00,Cobalt oxide	2.00,Copper carbonate	4.00,Manganese dioxide	4.00,,,,,,,
BLACK METALLIC 2,6,metallic black,,shiny glossy,,,Custer feldspar	36.00,Whiting	9.00,Colemanite	5.00,Dolomite	5.00,Talc	16.00,Barium carbonate	8.00,Flint	16.00,Bentonite	5.00,Black iron oxide	3.00,Zircopax	15.00,Rutile	20.00,Cobalt oxide	3.00,,
Black Metallic 3,6,black,,matte,,Opaque,Custer feldspar	36.73,Whiting	9.18,Colemanite	5.10,Dolomite	5.10,Talc	16.33,Barium carbonate	8.16,Silica	16.33,Black iron oxide	3.06,Bentonite	5.10,Zircopax	15.31,Rutile	20.41,Cobalt oxide	3.06,,
Black Metallic 4,6,Black,Untested,,oxidation,Opaque,Gerstley borate	11.00,Whiting	5.00,Custer feldspar	79.00,EPK	5.00,Cobalt oxide	2.00,Copper carbonate	4.00,Manganese dioxide	4.00,,,,,,,
Black Metallic Matt,6 - 9,Opaque metallic Black,,Matte,,Opaque,Wood ash	25.00,Nepheline syenite	37.50,Talc	18.75,Ball clay	18.75,Iron oxide	2.50,Black copper oxide	3.75,Cobalt oxide	2.92,,,,,,,
black metallic1,6,metallic black,Untested,Gloss,oxidation,Opaque,Spodumene	50.00,Gerstley borate	25.00,Flint	25.00,Black iron oxide	10.00,Cobalt oxide	2.00,Copper carbonate	4.00,,,,,,,,
Black Mirror,6,black,Untested,Gloss,oxidation,Opaque,Potash feldspar	38.18,Silica	23.64,Whiting	13.64,Kaolin	13.64,Zinc oxide	10.91,Red iron oxide	7.27,Cobalt oxide	0.91,,,,,,,
Black Mountain,2 - 5,,Untested,Satin matt,Ox. or Red.,Semi-opaque,Bainbridge spar	30.00,Whiting	20.00,Flint	20.00,Kaolin	10.00,Talc theoretical	20.00,,,,,,,,,
