Glaze name,Cone,Color,Testing,Surface,Firing,Transparency,Recipe1,Recipe2,Recipe3,Recipe4,Recipe5,Recipe6,Recipe7,Recipe8,Recipe9,Recipe10,Recipe11,Recipe12,Recipe13,Recipe14
V.C. 1,4 - 6,Semi-translucent to semi-opaque,Untested,Semi-Gloss,Ox or Red,,Kona F-4 Feldspar	45.00,Gerstley borate	20.00,Whiting	5.00,Barium carbonate	15.00,EPK	5.00,Flint	10.00,,,,,,,,
V.C. 1-6,5 - 6,Semi-opaque,Untested,Semi-Satin,Ox or Red,,Frit 3124	60.00,Gerstley borate	10.00,Flint	10.00,EPK	10.00,Whiting	10.00,,,,,,,,,
V.C. 2,4 - 6,Semi-Opaque,Untested,Semi Satin,Ox or Red,,Nepheline syenite	33.00,Whiting	16.00,Wollastonite	4.00,Dolomite	5.00,Barium carbonate	5.00,EPK	5.00,Flint	11.00,Frit 3110	21.00,Red iron oxide	5.00,Lithium Carb	6.00,,,,
V.C. 2-6,5 - 6,Semi-opaque,Untested,Matte,Ox or Red,,Nepheline syenite	50.00,Barium carbonate	10.00,Frit 3124	5.00,Whiting	5.00,Petalite	5.00,EPK	10.00,Flint	15.00,,,,,,,
V.C. 3,4 - 6,Semi-Opaque,Untested,Satin,Ox or Red,,Nepheline syenite	30.00,Whiting	10.00,Barium carbonate	10.00,EPK	10.00,Flint	10.00,Frit 3110	25.00,Zinc oxide	5.00,,,,,,,
V.C. 4,4 - 6,Opaque,Untested,Matt,Ox or Red,,Nepheline syenite	15.00,Whiting	10.00,Barium carbonate	10.00,EPK	10.00,Flint	10.00,Frit 3110	30.00,Petalite	10.00,Titanium dioxide	5.00,,,,,,
V.C. 5,4 - 6,,Untested,Semi-satin,Ox. or Red.,Semi-opaque,Nepheline syenite	25.00,Gerstley borate	18.00,Whiting	2.00,EPK	10.00,Flint	15.00,Zinc oxide	5.00,Frit 3124	25.00,Tin oxide	5.00,,,,,,
V.C. 5,4 - 6,,Untested,Semi-satin,Ox. or Red.,Semi-opaque,Nepheline syenite	25.00,Gerstley borate	18.00,Whiting	2.00,EPK	10.00,Flint	15.00,Zinc oxide	5.00,Frit 3124	25.00,Tin oxide	5.00,,,,,,
V.C. 7,4 - 6,Opaque Orange to Green,Untested,Satin Matte,Ox or Red,,Albany Slip	72.00,Cryolite	14.00,Gerstley borate	7.00,Barium Carb	7.00,,,,,,,,,,
V.C. 71,6,White,,Satin matt,Oxidation,Semi-opaque,Custer feldspar	40.00,Frit 3124	9.00,Whiting	16.00,Talc	9.00,EPK	10.00,Flint	16.00,,,,,,,,
V.C. 8,4 - 6,Semi-opaque,Untested,Satin Matte,Ox or Red,,Nepheline syenite	20.00,Whiting	20.00,EPK	20.00,Flint	15.00,Frit 3124	25.00,,,,,,,,,
V.C. Easy Gloss I,5 - 6,Transparent,Untested,Glossy or shiny,Ox or Red,,Gerstley borate	50.00,EPK	50.00,,,,,,,,,,,,
V.C. Easy Gloss II,5 - 6,Semi-transparent bright yellow,Untested,Glossy,Oxidation,,Gerstley borate	50.00,Barnard clay	25.00,EPK	25.00,,,,,,,,,,,
V.C. Easy Gloss III,5 - 6,,Untested,Glossy to semi-glossy,Ox. or Red.,Semi-opaque,Gerstley borate	50.00,Albany Slip	25.00,EPK	25.00,,,,,,,,,,,
V.C. Easy Gloss IV,5 - 6,Transparent white,Untested,Glossy,Ox or Red,,Cornwall Stone	47.00,Gerstley borate	47.00,Ball clay	6.00,Zircopax	5.00,,,,,,,,,,
V.C. G 3,5 - 6,Semi-opaque,Untested,Satin Matt,Ox or Red,,Custer feldspar	52.00,Whiting	19.00,Zinc oxide	9.00,EPK	14.00,Flint	6.00,,,,,,,,,
V.C. G 4,5 - 6,,Untested,Rivulet,Reduction,Varies,Apple Wood Ash	50.00,Gerstley borate	20.00,Whiting	12.00,EPK	8.00,Flint	10.00,,,,,,,,,
V.C. G 5,5 - 6,Semi-opaque Clear,Untested,Semi-Gloss,Ox or Red,,Nepheline syenite	40.00,Gerstley borate	5.00,Whiting	16.00,Dolomite	3.00,Zinc oxide	2.00,Frit 3124	10.00,EPK	4.00,Flint	20.00,,,,,,
V.C. Good Color Satin Matt,5 - 6,Semi-opaque,Untested,Satin Matt,Ox or Red,,Kona F-4 Feldspar	50.00,Barium carbonate	22.00,Frit 3185	8.00,Whiting	5.00,EPK	5.00,Flint	10.00,,,,,,,,
V.C. Karen Starshine CuAqua,6,Opaque Blue Green,Untested,Glossy or shiny,Ox. or Red.,,K-200 Feldspar	46.00,Soda ash	5.00,Gerstley borate	12.00,Whiting	10.00,Barium carbonate	5.00,Lithium carbonate	2.00,Flint	20.00,Macaloid	2.00,Titanium dioxide	4.00,Copper carbonate	5.00,,,,
V.C. Karen Weinkauf,4 - 6,Transparent Clear,Untested,Gloss,Oxidation,,Frit 3110	40.00,Frit 3124	10.00,Nepheline Sye	20.00,Flint	15.00,Clay	10.00,Soda ash	5.00,,,,,,,,
V.C. Med Temp 1,5 - 6,Opaque White,Untested,Satin Matte,Ox or Red,,Nepheline syenite	53.00,Whiting	18.00,Zinc oxide	8.00,EPK	15.00,Flint	6.00,,,,,,,,,
V.C. Polished Matt,5 - 6,Opaque,Untested,Matte,Ox or Red,,Kona F-4 Feldspar	20.00,Custer feldspar	20.00,Spodumene	20.00,Dolomite	20.00,Whiting	5.00,Kaolin	15.00,Tin oxide	6.00,,,,,,,
V.C. Soft White Matt,5 - 6,White,Untested,Matt,Ox or Red,,Neph Sye	4301.00,Barium carbonate	688.00,Gerstley borate	860.00,Lithium carbonate	430.00,Cryolite	430.00,Zinc oxide	172.00,EPK	860.00,Flint	258.00,Tin oxide	172.00,Zircopax	430.00,,,,
Val Cushing's SCVC5,6,Semi-opaque White,,"semi-satin, waxy matt",,,Cornwall Stone	40.00,Ferro frit 3124	9.00,Talc	9.00,Whiting	16.00,EPK	10.00,Flint	16.00,,,,,,,,
Vickie's Barnard,6 - 9,chocolate brown,,glassy,,,Barnard clay	72.22,Custer feldspar	16.67,Whiting	11.11,,,,,,,,,,,
Vivian's Red/Purple/Green,6,transparent green ox./reduct. r,,,,,Nepheline syenite	46.33,Silica	19.80,Gerstley borate	13.56,Whiting	8.21,Dolomite	5.94,Zinc oxide	3.68,EPK	2.48,Copper carbonate	0.98,Tin oxide	0.98,Rutile	0.49,,,,
Vivikas reduction,2 - 6,,Untested,?,reduction,,Zinc oxide	8.27,Colemanite	17.54,Barium carbonate	6.71,Talc	6.44,G-200 Feldspar	38.56,Silica	22.48,,,,,,,,
Wanamaker Satin (Jeff Dietrich),6 - 7,,,,,,Dolomite	18.39,Spodumene	11.50,Nepheline syenite	51.71,Ball clay	13.80,Zinc oxide	4.60,Titanium dioxide	2.30,,,,,,,,
Warwick Martin,6,,Untested,Semi-gloss,Oxidation,,Wollastonite	19.90,Kona F-4 feldspar	43.40,EPK	16.80,Frit 3134	19.90,Rutile	6.00,,,,,,,,,
Waxy #3,6,White,,Waxy,Oxidation,Semi-opaque,Custer feldspar	33.60,Whiting	20.20,Flint	17.30,Frit 3195	28.90,Bentonite	1.00,,,,,,,,,
Waxy base,6-10,,,Waxy,Oxidation,,Custer feldspar	41.00,Silica	20.00,Gerstley borate	12.00,Dolomite	7.00,Kaolin	5.00,,,,,,,,,
Waxy Kevin's,6,Clear,,Satin matt,Oxidation,Translucent,Nepheline syenite	75.00,Zinc oxide	2.00,Dolomite	5.00,Whiting	3.00,EPK	7.00,Flint	9.00,,,,,,,,
Weathered Bronze,6,Green,Tested,Satin matt,Oxidation,Opaque,Lithium carbonate	1.00,Strontium carbonate	20.00,Nepheline syenite	60.00,Ball clay	10.00,Flint	6.00,Titanium dioxide	5.00,Copper carbonate	5.00,,,,,,,
WG White,5 - 6,white,,,oxidation,,Feldspar	34.48,Gerstley borate	11.49,Zinc oxide	11.49,Dolomite	17.24,Flint	25.29,,,,,,,,,
White,2 - 5,white base,Untested,,Ox. or Red.,,Custer feldspar	34.90,Gerstley borate	31.50,Silica	19.80,Kaolin	5.90,Zinc oxide	4.90,Whiting	3.00,,,,,,,,
white Axner,6 - 7,white,,Semi-Gloss,Oxidation,Opaque,Kona F-4 feldspar	39.78,Silica	19.55,Gerstley borate	12.61,Dolomite	6.84,Kaolin	4.40,Talc	12.41,Lithium carbonate	3.42,Borax	0.98,Zircopax	11.73,Bentonite	0.98,,,,
white Axner,6 - 7,white,Untested,Semi-Gloss,oxidation,Opaque,Kona F-4 feldspar	39.78,Silica	19.55,Gerstley borate	12.61,Dolomite	6.84,Kaolin	4.40,Talc	12.41,Lithium carbonate	3.42,Borax	0.98,Zircopax	11.73,Bentonite	0.98,,,,
White Base UM,6,white,,Gloss,Oxidation,Opaque,Kona F-4 feldspar	64.70,Gerstley borate	11.80,Whiting	9.40,EPK	7.10,Silica	7.10,Superpax	17.70,Bentonite	3.50,,,,,,,
White base yee vian shin 1,6,White,,"texture, mottled",Oxidation,Semi-opaque,Nepheline syenite	35.00,Wollastonite	12.00,Lithium carbonate	2.70,Zinc oxide	5.80,Strontium carbonate	10.70,EPK	17.40,Silica	16.40,Zircopax Plus	5.00,,,,,,
White Cornball,6,white,,Matt,oxidation,Semi-opaque,Cornwall Stone	49.20,Kentucky OM #4	23.00,Talc	7.30,Whiting	7.70,Barium carbonate	12.80,,,,,,,,,
White Gloss,4 - 5 - 6 - 7 - 8,white,Untested,Gloss,oxidation,Opaque,Spodumene	12.59,Nepheline syenite	29.95,Whiting	11.37,Flint	27.51,Gerstley borate	8.93,Dolomite	5.69,Zinc oxide	3.96,Bentonite	1.52,Zircopax	10.15,,,,,
White Happy,6,White,,Waxy,Oxidation,Opaque,Cornwall Stone	50.00,Ball clay	12.00,Dolomite	20.00,Bone ash	10.00,Lithium carbonate	8.00,Rutile	4.00,Zircopax	4.00,,,,,,,
White Kona,6,white,,,oxidation,,Kona F-4 feldspar	46.30,Cornwall Stone	46.30,Wollastonite	1.20,Barium carbonate	3.80,Zinc oxide	2.50,,,,,,,,,
White Liner Cushing,5-6,White,,Gloss,Oxidation,Semi-opaque,Custer feldspar	64.00,Whiting	18.00,Zinc oxide	5.00,Talc	5.00,EPK	9.00,Zircopax Plus	10.00,,,,,,,,
White Liner Val Cushing,5-6,White,,Gloss,Ox. or Red.,Opaque,Custer feldspar	64.00,Whiting	18.00,Zinc oxide	5.00,Talc	5.00,EPK	9.00,Zircopax	10.00,,,,,,,,
White Matt,2 - 5,Opaque White,Untested,Matte,Ox. or Red.,,Cornwall Stone	12.50,Spodumene	12.50,Barium carbonate	12.50,Dolomite	12.50,Talc	12.50,Zinc oxide	12.50,Kaolin	12.50,Flint	12.50,,,,,,
