Glaze name,Cone,Color,Testing,Surface,Firing,Transparency,Recipe1,Recipe2,Recipe3,Recipe4,Recipe5,Recipe6,Recipe7,Recipe8,Recipe9,Recipe10,Recipe11,Recipe12,Recipe13,Recipe14
Copper Multi Colored Sand Patina,08 - 06,,Untested,Matt,Raku,Opaque,Gerstley borate	80.00,Bone ash	20.00,Copper carbonate	5.00,Cobalt carbonate	2.50,,,,,,,,,,
Copper Penny,012 - 06,opaque copper metallic,Untested,Shiny or Glossy,Raku,,Gerstley borate	80.00,Potash feldspar	20.00,Copper carbonate	2.00,Cobalt carbonate	1.00,Yellow Ochre	7.00,,,,,,,,,
Copper Rainbow Sand Yukio's,08 - 06,varies,,matte,,,Colemanite	68.00,Bone ash	19.40,Nepheline syenite	9.70,Lithium carbonate	2.90,Copper carbonate	4.90,Cobalt carbonate	0.50,,,,,,,,
Copper Razzle Dazzle Phil's,06,,,,Raku,Opaque,Gerstley borate	46.50,Borax	46.50,Ball clay	7.00,Red iron oxide	9.20,Black copper oxide	4.80,,,,,,,,,
Copper Reynold's Rap,08 - 06,,Untested,,Raku,,Gerstley borate	63.60,Custer feldspar	12.10,Silica	12.10,Ball clay	6.10,Barium carbonate	6.10,Copper carbonate	12.10,,,,,,,,
Copper Sand Carl's,08 - 06,rainbow,,matte,,,Gerstley borate	80.00,Bone ash	20.00,Copper carbonate	5.00,Cobalt oxide	2.50,Tin oxide	1.20,,,,,,,,,
Copper Sand Modified,08 - 06,varies,,matte,,,Gerstley borate	75.10,Bone ash	25.00,Copper carbonate	4.80,Cobalt oxide	2.40,,,,,,,,,,
Copper Sand Raku,08 - 06,,Untested,Matt,Raku,Opaque,Gerstley borate	80.00,Bone ash	20.00,Copper carbonate	5.00,Cobalt oxide	2.50,Tin oxide	1.25,,,,,,,,,
Crackle Clear Phil's Adjusted,06,Clear,,Gloss,Raku,Transparent,Frit 3134	91.00,Kentucky OM #4	9.00,Bentonite	4.00,,,,,,,,,,,
Crackle CR's Clear,06-01,,,,Raku,Transparent,Gillespie borate	67.00,Frit 3124	17.00,Nepheline syenite	16.00,,,,,,,,,,,
Crackle Keator,08-06,Clear,,Gloss,Raku,Transparent,Gerstley borate	76.20,Nepheline syenite	19.00,Kaolin	4.80,,,,,,,,,,,
CRACKLE RAKU,08 - 06,light blue,,shiny glossy,,,Pemco frit P-25	80.00,Custer feldspar	20.00,Copper carbonate	1.00,,,,,,,,,,,
